"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"DataPulse API","Reports","Quality Trends","4","0","3","0","0"
"DataPulse API","Quality Checks","Run Checks","4","0","1","0","0"
"DataPulse API","Dataset Upload","List Datasets","0","0","3","0","0"
"DataPulse API","Validation Rules","Authorization","4","0","0","0","0"
"DataPulse API","Dataset Upload","Upload CSV","0","0","2","0","0"
"DataPulse API","Reports","Get Report","3","0","3","0","0"
"DataPulse API","Validation Rules","Rule Validation","0","0","6","0","0"
"DataPulse API","Quality Checks","Check Results","2","0","1","0","0"
"DataPulse API","Authentication","User Login","0","0","5","0","0"
"DataPulse API","Quality Checks","RBAC / User Isolation","1","0","1","0","0"
"DataPulse API","Dataset Upload","RBAC / User Isolation","0","0","1","0","0"
"DataPulse API","Validation Rules","List Rules","0","0","2","0","0"
"DataPulse API","Authentication","Password Validation","0","0","6","0","0"
"DataPulse API","Reports","CSV Export","1","0","2","0","0"
"DataPulse API","Validation Rules","Update Rule","0","0","4","0","0"
"DataPulse API","Validation Rules","Create Rule","1","0","4","0","0"
"DataPulse API","Validation Rules","RBAC / User Isolation","0","0","3","0","0"
"DataPulse API","Validation Rules","Delete Rule","0","0","3","0","0"
"DataPulse API","Reports","RBAC / User Isolation","0","0","1","0","0"
"DataPulse API","Authentication","User Registration","0","0","5","0","0"
"DataPulse API","Dataset Upload","Authorization","2","0","1","0","0"
"DataPulse API","Dataset Upload","File Validation","0","0","4","0","0"
"DataPulse API","Quality Checks","Authorization","2","0","0","0","0"
"DataPulse API","Reports","Authorization","2","0","0","0","0"
"DataPulse API","Dataset Upload","Upload JSON","0","0","1","0","0"
